,Statement Date,Intermeeting Date,Chair
0,2/2/00,3/23/00,Alan Greenspan
1,3/21/00,5/18/00,Alan Greenspan
2,5/16/00,6/29/00,Alan Greenspan
3,6/28/00,8/24/00,Alan Greenspan
4,8/22/00,10/5/00,Alan Greenspan
5,10/3/00,11/16/00,Alan Greenspan
6,11/15/00,12/21/00,Alan Greenspan
7,12/19/00,2/1/01,Alan Greenspan
8,1/31/01,3/22/01,Alan Greenspan
9,3/20/01,5/17/01,Alan Greenspan
10,5/15/01,6/28/01,Alan Greenspan
11,6/27/01,8/23/01,Alan Greenspan
12,8/21/01,10/4/01,Alan Greenspan
13,10/2/01,11/8/01,Alan Greenspan
14,11/6/01,12/13/01,Alan Greenspan
15,12/11/01,1/31/02,Alan Greenspan
16,1/30/02,3/21/02,Alan Greenspan
17,3/19/02,5/9/02,Alan Greenspan
18,5/7/02,6/27/02,Alan Greenspan
19,6/26/02,8/15/02,Alan Greenspan
20,8/13/02,9/26/02,Alan Greenspan
21,9/24/02,11/7/02,Alan Greenspan
22,11/6/02,12/12/02,Alan Greenspan
23,12/10/02,1/30/03,Alan Greenspan
24,1/29/03,3/20/03,Alan Greenspan
25,3/18/03,5/8/03,Alan Greenspan
26,5/6/03,6/26/03,Alan Greenspan
27,6/25/03,8/14/03,Alan Greenspan
28,8/12/03,9/18/03,Alan Greenspan
29,9/16/03,10/30/03,Alan Greenspan
30,10/28/03,12/11/03,Alan Greenspan
31,12/9/03,1/29/04,Alan Greenspan
32,1/28/04,3/18/04,Alan Greenspan
33,3/16/04,5/6/04,Alan Greenspan
34,5/4/04,6/1/04,Alan Greenspan
35,6/30/04,8/12/04,Alan Greenspan
36,8/10/04,9/23/04,Alan Greenspan
37,9/21/04,11/11/04,Alan Greenspan
38,11/10/04,12/16/04,Alan Greenspan
39,12/14/04,1/4/05,Alan Greenspan
40,2/2/05,2/23/05,Alan Greenspan
41,3/22/05,4/12/05,Alan Greenspan
42,5/3/05,5/24/05,Alan Greenspan
43,6/30/05,7/21/05,Alan Greenspan
44,8/9/05,8/30/05,Alan Greenspan
45,9/20/05,10/11/05,Alan Greenspan
46,11/1/05,11/22/05,Alan Greenspan
47,12/13/05,1/3/06,Alan Greenspan
48,1/31/06,2/21/06,Alan Greenspan
49,3/28/06,4/18/06,Ben Bernanke
