Statement Date,Intermeeting Date,Chair
2/2/00,3/23/00,Alan Greenspan
3/21/00,5/18/00,Alan Greenspan
5/16/00,6/29/00,Alan Greenspan
6/28/00,8/24/00,Alan Greenspan
8/22/00,10/5/00,Alan Greenspan
10/3/00,11/16/00,Alan Greenspan
11/15/00,12/21/00,Alan Greenspan
12/19/00,2/1/01,Alan Greenspan
1/31/01,3/22/01,Alan Greenspan
3/20/01,5/17/01,Alan Greenspan
5/15/01,6/28/01,Alan Greenspan
6/27/01,8/23/01,Alan Greenspan
8/21/01,10/4/01,Alan Greenspan
10/2/01,11/8/01,Alan Greenspan
11/6/01,12/13/01,Alan Greenspan
12/11/01,1/31/02,Alan Greenspan
1/30/02,3/21/02,Alan Greenspan
3/19/02,5/9/02,Alan Greenspan
5/7/02,6/27/02,Alan Greenspan
6/26/02,8/15/02,Alan Greenspan
8/13/02,9/26/02,Alan Greenspan
9/24/02,11/7/02,Alan Greenspan
11/6/02,12/12/02,Alan Greenspan
12/10/02,1/30/03,Alan Greenspan
1/29/03,3/20/03,Alan Greenspan
3/18/03,5/8/03,Alan Greenspan
5/6/03,6/26/03,Alan Greenspan
6/25/03,8/14/03,Alan Greenspan
8/12/03,9/18/03,Alan Greenspan
9/16/03,10/30/03,Alan Greenspan
10/28/03,12/11/03,Alan Greenspan
12/9/03,1/29/04,Alan Greenspan
1/28/04,3/18/04,Alan Greenspan
3/16/04,5/6/04,Alan Greenspan
5/4/04,6/1/04,Alan Greenspan
6/30/04,8/12/04,Alan Greenspan
8/10/04,9/23/04,Alan Greenspan
9/21/04,11/11/04,Alan Greenspan
11/10/04,12/16/04,Alan Greenspan
12/14/04,1/4/05,Alan Greenspan
2/2/05,2/23/05,Alan Greenspan
3/22/05,4/12/05,Alan Greenspan
5/3/05,5/24/05,Alan Greenspan
6/30/05,7/21/05,Alan Greenspan
8/9/05,8/30/05,Alan Greenspan
9/20/05,10/11/05,Alan Greenspan
11/1/05,11/22/05,Alan Greenspan
12/13/05,1/3/06,Alan Greenspan
1/31/06,2/21/06,Alan Greenspan
3/28/06,4/18/06,Ben Bernanke
5/10/06,5/31/06,Ben Bernanke
6/29/06,7/20/06,Ben Bernanke
8/8/06,8/29/06,Ben Bernanke
9/20/06,10/11/06,Ben Bernanke
10/25/06,11/15/06,Ben Bernanke
12/12/06,1/3/07,Ben Bernanke
1/31/07,2/21/07,Ben Bernanke
3/21/07,4/11/07,Ben Bernanke
5/9/07,5/30/07,Ben Bernanke
6/18/07,7/19/07,Ben Bernanke
8/7/07,8/28/07,Ben Bernanke
9/18/07,10/9/07,Ben Bernanke
10/31/07,11/20/07,Ben Bernanke
12/11/07,1/2/08,Ben Bernanke
1/30/08,2/20/08,Ben Bernanke
3/18/08,4/8/08,Ben Bernanke
4/30/08,5/21/08,Ben Bernanke
6/25/08,7/16/08,Ben Bernanke
8/5/08,8/26/08,Ben Bernanke
9/16/08,10/7/08,Ben Bernanke
10/29/08,11/19/08,Ben Bernanke
12/16/08,1/6/09,Ben Bernanke
1/28/09,2/18/09,Ben Bernanke
3/18/09,4/8/09,Ben Bernanke
4/29/09,5/20/09,Ben Bernanke
6/24/09,7/15/09,Ben Bernanke
8/12/09,9/2/09,Ben Bernanke
9/23/09,10/14/09,Ben Bernanke
11/4/09,11/24/09,Ben Bernanke
12/16/09,1/6/10,Ben Bernanke
1/27/10,2/17/10,Ben Bernanke
3/16/10,4/6/10,Ben Bernanke
4/28/10,5/19/10,Ben Bernanke
6/23/10,7/14/10,Ben Bernanke
8/10/10,8/31/10,Ben Bernanke
9/21/10,10/12/10,Ben Bernanke
11/3/10,11/23/10,Ben Bernanke
12/14/10,1/4/11,Ben Bernanke
1/26/11,2/16/11,Ben Bernanke
