meeting_id,Sentiment_Rating,document_type
1,0.1,intermeeting
2,0.2,intermeeting
3,-0.5,intermeeting
4,0.2,intermeeting
5,0.2,intermeeting
6,-0.2,intermeeting
7,-0.2,intermeeting
8,-0.5,intermeeting
9,-0.5,intermeeting
10,0.0,intermeeting
11,-0.5,intermeeting
12,-0.5,intermeeting
13,-0.6,intermeeting
14,0.0,intermeeting
15,0.0,intermeeting
16,-0.5,intermeeting
17,0.0,intermeeting
18,0.0,intermeeting
19,0.1,intermeeting
20,0.0,intermeeting
21,0.0,intermeeting
22,0.1,intermeeting
23,-0.7,intermeeting
24,0.1,intermeeting
25,0.0,intermeeting
26,0.0,intermeeting
27,-0.1,intermeeting
28,0.0,intermeeting
29,0.2,intermeeting
30,0.3,intermeeting
31,0.0,intermeeting
32,0.4,intermeeting
33,0.0,intermeeting
34,0.1,intermeeting
35,0.5,intermeeting
36,0.0,intermeeting
37,0.2,intermeeting
38,0.0,intermeeting
39,0.0,intermeeting
40,0.3,intermeeting
41,0.1,intermeeting
42,0.0,intermeeting
43,0.2,intermeeting
44,0.2,intermeeting
45,0.3,intermeeting
46,-0.2,intermeeting
47,0.1,intermeeting
48,0.3,intermeeting
49,0.1,intermeeting
50,0.0,intermeeting
51,0.1,intermeeting
52,0.0,intermeeting
53,-0.2,intermeeting
54,-0.2,intermeeting
55,0.0,intermeeting
56,0.0,intermeeting
57,0.1,intermeeting
58,0.0,intermeeting
59,0.0,intermeeting
60,0.2,intermeeting
61,0.0,intermeeting
62,0.0,intermeeting
63,-0.3,intermeeting
64,0.0,intermeeting
65,0.0,intermeeting
66,-0.5,intermeeting
67,0.0,intermeeting
68,-0.6,intermeeting
69,-0.8,intermeeting
70,0.0,intermeeting
71,0.1,intermeeting
72,-0.7,intermeeting
73,-0.2,intermeeting
74,0.2,intermeeting
75,0.2,intermeeting
76,0.3,intermeeting
77,0.0,intermeeting
78,0.0,intermeeting
79,0.0,intermeeting
80,0.1,intermeeting
81,0.0,intermeeting
82,0.0,intermeeting
83,-0.5,intermeeting
84,0.1,intermeeting
85,-0.2,intermeeting
86,0.2,intermeeting
87,0.0,intermeeting
88,0.2,intermeeting
89,0.0,intermeeting
90,0.0,intermeeting
91,0.0,intermeeting
92,0.0,intermeeting
93,0.1,intermeeting
94,0.0,intermeeting
95,0.0,intermeeting
96,0.0,intermeeting
97,0.1,intermeeting
98,0.1,intermeeting
99,0.0,intermeeting
100,0.0,intermeeting
101,0.2,intermeeting
102,0.0,intermeeting
103,0.0,intermeeting
104,0.0,intermeeting
105,0.0,intermeeting
106,0.1,intermeeting
107,0.1,intermeeting
108,0.0,intermeeting
109,0.2,intermeeting
110,0.2,intermeeting
111,0.0,intermeeting
112,0.0,intermeeting
113,0.2,intermeeting
114,0.2,intermeeting
115,0.2,intermeeting
116,0.0,intermeeting
117,0.1,intermeeting
118,0.0,intermeeting
119,0.0,intermeeting
120,0.0,intermeeting
121,-0.3,intermeeting
122,0.1,intermeeting
123,0.1,intermeeting
124,0.0,intermeeting
125,0.1,intermeeting
126,0.0,intermeeting
127,0.0,intermeeting
128,0.1,intermeeting
129,0.2,intermeeting
130,0.1,intermeeting
131,0.1,intermeeting
132,0.0,intermeeting
133,0.1,intermeeting
134,0.1,intermeeting
135,0.0,intermeeting
136,0.1,intermeeting
137,0.0,intermeeting
138,0.0,intermeeting
139,0.1,intermeeting
140,0.1,intermeeting
141,0.2,intermeeting
142,0.0,intermeeting
143,0.0,intermeeting
144,0.1,intermeeting
145,0.0,intermeeting
146,0.3,intermeeting
147,0.0,intermeeting
148,0.2,intermeeting
149,0.1,intermeeting
150,0.0,intermeeting
151,0.0,intermeeting
152,0.0,intermeeting
153,0.0,intermeeting
154,-0.2,intermeeting
155,0.0,intermeeting
156,-0.1,intermeeting
157,0.1,intermeeting
158,0.1,intermeeting
159,0.0,intermeeting
160,-0.8,intermeeting
161,0.0,intermeeting
162,0.1,intermeeting
163,0.0,intermeeting
164,0.1,intermeeting
165,0.2,intermeeting
166,0.1,intermeeting
167,0.0,intermeeting
168,0.0,intermeeting
169,0.2,intermeeting
170,0.0,intermeeting
171,0.1,intermeeting
172,0.1,intermeeting
173,0.1,intermeeting
174,0.1,intermeeting
175,0.0,intermeeting
176,-0.2,intermeeting
177,0.0,intermeeting
178,0.0,intermeeting
179,0.0,intermeeting
180,0.1,intermeeting
181,-0.3,intermeeting
182,0.2,intermeeting
183,0.0,intermeeting
184,0.0,intermeeting
185,0.0,intermeeting
186,0.0,intermeeting
187,0.1,intermeeting
188,0.0,intermeeting
189,-0.1,intermeeting
190,-0.2,intermeeting
191,0.0,intermeeting
192,0.1,intermeeting
193,0.1,intermeeting
194,0.2,intermeeting
195,0.1,intermeeting
196,0.1,intermeeting
197,0.2,intermeeting
198,0.2,intermeeting
199,0.0,intermeeting
200,0.1,intermeeting
